go_term,n_in_top_q,n_in_bot_q,OR,p,bh_fdr_sig
GO:0031663,2,1,2.04,0.5,False
GO:0010718,2,1,2.04,0.5,False
GO:0003723,2,1,2.04,0.5,False
GO:1901216,2,1,2.04,0.5,False
GO:0019901,4,3,1.3611111111111112,0.5,False
GO:0032733,2,1,2.04,0.5,False
GO:0015026,2,1,2.04,0.5,False
GO:0016477,4,3,1.3611111111111112,0.5,False
GO:0007169,2,1,2.04,0.5,False
GO:0001938,2,1,2.04,0.5,False
GO:0044853,2,1,2.04,0.5,False
GO:0016323,2,1,2.04,0.5,False
GO:0016324,2,1,2.04,0.5,False
GO:0030183,2,1,2.04,0.5,False
GO:0009410,3,2,1.530612244897959,0.5000000000000001,False
GO:0051607,3,2,1.530612244897959,0.5000000000000001,False
GO:0002020,3,2,1.530612244897959,0.5000000000000001,False
GO:0045429,3,2,1.530612244897959,0.5000000000000001,False
GO:0000165,3,2,1.530612244897959,0.5000000000000001,False
GO:0050729,3,2,1.530612244897959,0.5000000000000001,False
GO:0032760,3,2,1.530612244897959,0.5000000000000001,False
GO:0070374,3,2,1.530612244897959,0.5000000000000001,False
GO:0071347,3,2,1.530612244897959,0.5000000000000001,False
GO:0071346,3,2,1.530612244897959,0.5000000000000001,False
GO:0097191,3,2,1.530612244897959,0.5000000000000001,False
GO:0019722,3,2,1.530612244897959,0.5000000000000001,False
GO:1901224,3,2,1.530612244897959,0.5000000000000001,False
GO:0005925,3,2,1.530612244897959,0.5000000000000001,False
GO:0005667,3,2,1.530612244897959,0.5000000000000001,False
GO:0005887,10,10,1.0,0.5979709044187167,False
GO:0000976,4,4,1.0,0.6422728850805208,False
GO:0006355,4,4,1.0,0.6422728850805208,False
GO:0007166,3,3,1.0,0.6609384239394813,False
GO:0032755,3,3,1.0,0.6609384239394813,False
GO:0042102,3,3,1.0,0.6609384239394813,False
GO:0005737,13,14,0.9047619047619048,0.6724271450859513,False
GO:0106310,2,2,1.0,0.691194847640104,False
GO:0007507,2,2,1.0,0.691194847640104,False
GO:0042981,2,2,1.0,0.691194847640104,False
GO:0001503,2,2,1.0,0.691194847640104,False
GO:0030246,2,2,1.0,0.691194847640104,False
GO:0090200,2,2,1.0,0.691194847640104,False
GO:0032757,2,2,1.0,0.691194847640104,False
GO:0043154,2,2,1.0,0.691194847640104,False
GO:0019899,2,2,1.0,0.691194847640104,False
GO:0010575,2,2,1.0,0.691194847640104,False
GO:0014823,2,2,1.0,0.691194847640104,False
GO:0005164,2,2,1.0,0.691194847640104,False
GO:0001649,2,2,1.0,0.691194847640104,False
GO:0035556,2,2,1.0,0.691194847640104,False
GO:0003151,2,2,1.0,0.691194847640104,False
GO:0070301,2,2,1.0,0.691194847640104,False
GO:0003682,2,2,1.0,0.691194847640104,False
GO:0005515,44,45,0.8555555555555555,0.7110238992194624,False
GO:0007165,7,8,0.8555555555555555,0.7110238992194625,False
GO:0005789,1,1,1.0,0.7524271844660194,False
GO:0009636,1,1,1.0,0.7524271844660194,False
GO:0140297,1,1,1.0,0.7524271844660194,False
GO:0043524,1,1,1.0,0.7524271844660194,False
GO:0010468,1,1,1.0,0.7524271844660194,False
GO:0016525,1,1,1.0,0.7524271844660194,False
GO:0004713,1,1,1.0,0.7524271844660194,False
GO:0018108,1,1,1.0,0.7524271844660194,False
GO:0042832,1,1,1.0,0.7524271844660194,False
GO:0007566,1,1,1.0,0.7524271844660194,False
GO:0030666,1,1,1.0,0.7524271844660194,False
GO:0005509,1,1,1.0,0.7524271844660194,False
GO:0003714,1,1,1.0,0.7524271844660194,False
GO:0043433,1,1,1.0,0.7524271844660194,False
GO:0007399,1,1,1.0,0.7524271844660194,False
GO:0001222,1,1,1.0,0.7524271844660194,False
GO:0008360,1,1,1.0,0.7524271844660194,False
GO:0071277,1,1,1.0,0.7524271844660194,False
GO:0008284,4,5,0.7833333333333333,0.7560911931449376,False
GO:0030154,4,5,0.7833333333333333,0.7560911931449376,False
GO:0000122,8,10,0.7636363636363637,0.7812289314278229,False
GO:1990837,8,10,0.7636363636363637,0.7812289314278229,False
GO:0001666,3,4,0.7346938775510204,0.7816422418940924,False
GO:0006468,3,4,0.7346938775510204,0.7816422418940924,False
GO:0046982,3,4,0.7346938775510204,0.7816422418940924,False
GO:0043565,3,4,0.7346938775510204,0.7816422418940924,False
GO:0007267,3,4,0.7346938775510204,0.7816422418940924,False
GO:0005794,3,4,0.7346938775510204,0.7816422418940924,False
GO:0005886,19,22,0.7851239669421488,0.7888106894145701,False
GO:0003700,6,8,0.717391304347826,0.8052200745232224,False
GO:0045944,13,16,0.75,0.8090066120647476,False
GO:0005730,2,3,0.6533333333333333,0.818658079400173,False
GO:0004674,2,3,0.6533333333333333,0.818658079400173,False
GO:0032496,2,3,0.6533333333333333,0.818658079400173,False
GO:0051092,2,3,0.6533333333333333,0.818658079400173,False
GO:0000785,11,14,0.7282229965156795,0.8205478258623607,False
GO:0045893,9,12,0.6976744186046512,0.8356487327918192,False
GO:0000977,3,5,0.5755102040816327,0.8652638559822352,False
GO:0045766,3,5,0.5755102040816327,0.8652638559822352,False
GO:0006955,6,9,0.6231884057971014,0.8680175247257291,False
GO:0046872,6,9,0.6231884057971014,0.8680175247257291,False
GO:0044877,1,2,0.49019607843137253,0.8786407766990292,False
GO:0046777,1,2,0.49019607843137253,0.8786407766990292,False
GO:0051726,1,2,0.49019607843137253,0.8786407766990292,False
GO:0042803,1,2,0.49019607843137253,0.8786407766990292,False
GO:0031625,1,2,0.49019607843137253,0.8786407766990292,False
GO:0046330,1,2,0.49019607843137253,0.8786407766990292,False
GO:0090575,1,2,0.49019607843137253,0.8786407766990292,False
GO:0007204,1,2,0.49019607843137253,0.8786407766990292,False
GO:0007568,1,2,0.49019607843137253,0.8786407766990292,False
GO:0034116,1,2,0.49019607843137253,0.8786407766990292,False
GO:0032715,1,2,0.49019607843137253,0.8786407766990292,False
GO:0000139,1,2,0.49019607843137253,0.8786407766990292,False
GO:0042130,1,2,0.49019607843137253,0.8786407766990292,False
GO:0004672,1,2,0.49019607843137253,0.8786407766990292,False
GO:0042826,1,2,0.49019607843137253,0.8786407766990292,False
GO:0019904,1,2,0.49019607843137253,0.8786407766990292,False
GO:0009887,1,2,0.49019607843137253,0.8786407766990292,False
GO:0032703,1,2,0.49019607843137253,0.8786407766990292,False
GO:0046718,1,2,0.49019607843137253,0.8786407766990292,False
GO:0019957,1,2,0.49019607843137253,0.8786407766990292,False
GO:0016493,1,2,0.49019607843137253,0.8786407766990292,False
GO:0046983,1,2,0.49019607843137253,0.8786407766990292,False
GO:0005634,19,24,0.6717171717171717,0.8839787511200394,False
GO:0030593,2,4,0.48,0.8975179071305189,False
GO:0043235,2,4,0.48,0.8975179071305189,False
GO:0032735,2,4,0.48,0.8975179071305189,False
GO:0019221,2,4,0.48,0.8975179071305189,False
GO:0071222,4,7,0.5357142857142857,0.8996049545163863,False
GO:0007155,4,7,0.5357142857142857,0.8996049545163863,False
GO:0000981,10,15,0.5873015873015873,0.9160705506079636,False
GO:0000978,10,15,0.5873015873015873,0.9160705506079636,False
GO:0003677,3,6,0.46938775510204084,0.919850187400884,False
GO:0016021,5,9,0.508274231678487,0.925470511081214,False
GO:0008630,1,3,0.3202614379084967,0.9411227530520042,False
GO:0004712,1,3,0.3202614379084967,0.9411227530520042,False
GO:0071456,1,3,0.3202614379084967,0.9411227530520042,False
GO:0006919,1,3,0.3202614379084967,0.9411227530520042,False
GO:0060326,1,3,0.3202614379084967,0.9411227530520042,False
GO:0043025,1,3,0.3202614379084967,0.9411227530520042,False
GO:0008022,1,3,0.3202614379084967,0.9411227530520042,False
GO:0030667,1,3,0.3202614379084967,0.9411227530520042,False
GO:0004896,1,3,0.3202614379084967,0.9411227530520042,False
GO:0035579,1,3,0.3202614379084967,0.9411227530520042,False
GO:0007229,1,3,0.3202614379084967,0.9411227530520042,False
GO:0007159,1,3,0.3202614379084967,0.9411227530520042,False
GO:0007160,1,3,0.3202614379084967,0.9411227530520042,False
GO:0043231,2,5,0.376,0.9438681732250895,False
GO:0006357,10,16,0.5357142857142857,0.9440321076933063,False
GO:0006915,5,10,0.44680851063829785,0.9541970042589565,False
GO:0009897,7,13,0.4666666666666667,0.9600623231028182,False
GO:0005654,9,16,0.47093023255813954,0.9674417833926628,False
GO:0005524,2,6,0.30666666666666664,0.9700696123060409,False
GO:0001227,1,4,0.23529411764705882,0.971738921464962,False
GO:0045121,1,4,0.23529411764705882,0.971738921464962,False
GO:0005178,1,4,0.23529411764705882,0.971738921464962,False
GO:0004888,1,4,0.23529411764705882,0.971738921464962,False
GO:0006954,5,11,0.3965183752417795,0.9726828987451441,False
GO:0016020,3,8,0.336734693877551,0.9741688702740231,False
GO:0032991,2,7,0.2571428571428571,0.9844180194218001,False
GO:0043123,1,5,0.1843137254901961,0.9865831243318507,False
GO:0005829,11,23,0.33828207847295866,0.9969270558610955,False
GO:0051402,0,2,0.0,1.0,False
GO:0006974,0,3,0.0,1.0,False
GO:0018105,0,3,0.0,1.0,False
GO:0007420,0,2,0.0,1.0,False
GO:0047485,0,2,0.0,1.0,False
GO:0009791,0,1,0.0,1.0,False
GO:0050853,0,5,0.0,1.0,False
GO:0005739,0,5,0.0,1.0,False
GO:0098609,0,3,0.0,1.0,False
GO:0030890,0,1,0.0,1.0,False
GO:0005741,0,2,0.0,1.0,False
GO:0042100,0,2,0.0,1.0,False
GO:0016607,0,3,0.0,1.0,False
GO:0006366,0,1,0.0,1.0,False
GO:0042742,0,2,0.0,1.0,False
GO:0043005,0,1,0.0,1.0,False
GO:0070542,0,1,0.0,1.0,False
GO:0003713,0,3,0.0,1.0,False
GO:0048471,0,3,0.0,1.0,False
GO:0030670,0,1,0.0,1.0,False
GO:0045087,0,5,0.0,1.0,False
GO:0006952,0,2,0.0,1.0,False
GO:0050870,0,1,0.0,1.0,False
GO:0005765,0,1,0.0,1.0,False
GO:0005764,0,2,0.0,1.0,False
GO:0001772,0,1,0.0,1.0,False
GO:0032753,0,3,0.0,1.0,False
GO:0032743,0,4,0.0,1.0,False
GO:0016604,0,2,0.0,1.0,False
GO:0001764,0,1,0.0,1.0,False
GO:0030097,0,2,0.0,1.0,False
GO:0032720,0,1,0.0,1.0,False
GO:0030182,0,3,0.0,1.0,False
GO:0002062,0,3,0.0,1.0,False
GO:0007283,0,2,0.0,1.0,False
