go_term,n_term_in_top50,n_term_in_bot50,OR_top50_vs_bot50,p_top50_vs_bot50,bh_fdr_sig
GO:0048471,3,1,3.127659574468085,0.3086535457669478,False
GO:0006952,3,1,3.127659574468085,0.3086535457669478,False
GO:0005178,3,1,3.127659574468085,0.3086535457669478,False
GO:0009887,3,1,3.127659574468085,0.3086535457669478,False
GO:0005886,17,14,1.3246753246753247,0.33290694576819163,False
GO:0090575,4,2,2.0869565217391304,0.33886614380374547,False
GO:0042110,4,2,2.0869565217391304,0.33886614380374547,False
GO:0032733,4,2,2.0869565217391304,0.33886614380374547,False
GO:0019221,4,2,2.0869565217391304,0.33886614380374547,False
GO:0005524,5,3,1.7407407407407407,0.35749183148234487,False
GO:0032991,5,3,1.7407407407407407,0.35749183148234487,False
GO:0045087,5,3,1.7407407407407407,0.35749183148234487,False
GO:0042102,5,3,1.7407407407407407,0.35749183148234487,False
GO:0002250,6,4,1.5681818181818181,0.37033322688723236,False
GO:0009986,7,5,1.4651162790697674,0.37980327211456943,False
GO:0005515,43,42,1.1700680272108843,0.4999999999999997,False
GO:0006955,8,7,1.1700680272108843,0.4999999999999997,False
GO:0016020,6,5,1.2272727272727273,0.49999999999999983,False
GO:0008285,6,5,1.2272727272727273,0.49999999999999983,False
GO:0045766,6,5,1.2272727272727273,0.49999999999999983,False
GO:0008284,7,6,1.193798449612403,0.49999999999999994,False
GO:0033138,2,1,2.0416666666666665,0.49999999999999994,False
GO:0016607,2,1,2.0416666666666665,0.49999999999999994,False
GO:0071260,2,1,2.0416666666666665,0.49999999999999994,False
GO:0030101,2,1,2.0416666666666665,0.49999999999999994,False
GO:0032729,4,3,1.3623188405797102,0.49999999999999994,False
GO:0033674,2,1,2.0416666666666665,0.49999999999999994,False
GO:0001819,2,1,2.0416666666666665,0.49999999999999994,False
GO:0045444,2,1,2.0416666666666665,0.49999999999999994,False
GO:0002548,2,1,2.0416666666666665,0.49999999999999994,False
GO:0070374,2,1,2.0416666666666665,0.49999999999999994,False
GO:0043154,2,1,2.0416666666666665,0.49999999999999994,False
GO:0032496,4,3,1.3623188405797102,0.49999999999999994,False
GO:0051092,2,1,2.0416666666666665,0.49999999999999994,False
GO:1902895,2,1,2.0416666666666665,0.49999999999999994,False
GO:0051897,2,1,2.0416666666666665,0.49999999999999994,False
GO:0050796,2,1,2.0416666666666665,0.49999999999999994,False
GO:0043491,2,1,2.0416666666666665,0.49999999999999994,False
GO:0032755,2,1,2.0416666666666665,0.49999999999999994,False
GO:0005765,2,1,2.0416666666666665,0.49999999999999994,False
GO:0042130,2,1,2.0416666666666665,0.49999999999999994,False
GO:0005925,2,1,2.0416666666666665,0.49999999999999994,False
GO:0007169,2,1,2.0416666666666665,0.49999999999999994,False
GO:0032735,2,1,2.0416666666666665,0.49999999999999994,False
GO:0004896,2,1,2.0416666666666665,0.49999999999999994,False
GO:0043433,2,1,2.0416666666666665,0.49999999999999994,False
GO:0032703,2,1,2.0416666666666665,0.49999999999999994,False
GO:0046718,2,1,2.0416666666666665,0.49999999999999994,False
GO:0071277,2,1,2.0416666666666665,0.49999999999999994,False
GO:0030182,2,1,2.0416666666666665,0.49999999999999994,False
GO:0006959,3,2,1.5319148936170213,0.5,False
GO:0007166,3,2,1.5319148936170213,0.5,False
GO:0042742,1,0,inf,0.5,False
GO:0071346,3,2,1.5319148936170213,0.5,False
GO:0045786,3,2,1.5319148936170213,0.5,False
GO:0001774,1,0,inf,0.5,False
GO:0044344,3,2,1.5319148936170213,0.5,False
GO:0050852,3,2,1.5319148936170213,0.5,False
GO:0030667,3,2,1.5319148936170213,0.5,False
GO:0005764,3,2,1.5319148936170213,0.5,False
GO:0005509,1,0,inf,0.5,False
GO:1901216,1,0,inf,0.5,False
GO:0000977,3,2,1.5319148936170213,0.5,False
GO:0005667,3,2,1.5319148936170213,0.5,False
GO:0061629,5,4,1.2777777777777777,0.5,False
GO:0007229,1,0,inf,0.5,False
GO:0007159,1,0,inf,0.5,False
GO:0005737,13,13,1.0,0.5900018015877835,False
GO:0042802,10,10,1.0,0.5984356088532747,False
GO:0046872,7,7,1.0,0.6128941352224406,False
GO:0006915,5,5,1.0,0.6296667731127676,False
GO:0016021,4,4,1.0,0.6425081685176552,False
GO:0019901,4,4,1.0,0.6425081685176552,False
GO:0005634,22,23,0.922360248447205,0.656046498591774,False
GO:0043565,3,3,1.0,0.6611338561962545,False
GO:0071222,3,3,1.0,0.6611338561962545,False
GO:0007267,3,3,1.0,0.6611338561962545,False
GO:0045892,3,3,1.0,0.6611338561962545,False
GO:0071356,3,3,1.0,0.6611338561962545,False
GO:0014068,3,3,1.0,0.6611338561962545,False
GO:0004712,2,2,1.0,0.6913464542330522,False
GO:0007565,2,2,1.0,0.6913464542330522,False
GO:0051607,2,2,1.0,0.6913464542330522,False
GO:0001503,2,2,1.0,0.6913464542330522,False
GO:0050830,2,2,1.0,0.6913464542330522,False
GO:0018108,2,2,1.0,0.6913464542330522,False
GO:0045471,2,2,1.0,0.6913464542330522,False
GO:0007204,2,2,1.0,0.6913464542330522,False
GO:0032760,2,2,1.0,0.6913464542330522,False
GO:0071347,2,2,1.0,0.6913464542330522,False
GO:0010575,2,2,1.0,0.6913464542330522,False
GO:0043123,2,2,1.0,0.6913464542330522,False
GO:0009615,2,2,1.0,0.6913464542330522,False
GO:0010718,2,2,1.0,0.6913464542330522,False
GO:0007275,2,2,1.0,0.6913464542330522,False
GO:0007179,2,2,1.0,0.6913464542330522,False
GO:0007165,6,7,0.8376623376623377,0.7232224946443712,False
GO:0018105,1,1,1.0,0.7525252525252526,False
GO:0046777,1,1,1.0,0.7525252525252526,False
GO:0004674,1,1,1.0,0.7525252525252526,False
GO:0009314,1,1,1.0,0.7525252525252526,False
GO:0051384,1,1,1.0,0.7525252525252526,False
GO:0010468,1,1,1.0,0.7525252525252526,False
GO:0046330,1,1,1.0,0.7525252525252526,False
GO:0098869,1,1,1.0,0.7525252525252526,False
GO:0014823,1,1,1.0,0.7525252525252526,False
GO:0032715,1,1,1.0,0.7525252525252526,False
GO:0002381,1,1,1.0,0.7525252525252526,False
GO:0019886,1,1,1.0,0.7525252525252526,False
GO:0050870,1,1,1.0,0.7525252525252526,False
GO:0002503,1,1,1.0,0.7525252525252526,False
GO:0042613,1,1,1.0,0.7525252525252526,False
GO:0023026,1,1,1.0,0.7525252525252526,False
GO:0030666,1,1,1.0,0.7525252525252526,False
GO:0032689,1,1,1.0,0.7525252525252526,False
GO:0009749,1,1,1.0,0.7525252525252526,False
GO:0035556,1,1,1.0,0.7525252525252526,False
GO:0005768,1,1,1.0,0.7525252525252526,False
GO:0019904,1,1,1.0,0.7525252525252526,False
GO:0007399,1,1,1.0,0.7525252525252526,False
GO:0001222,1,1,1.0,0.7525252525252526,False
GO:0032720,1,1,1.0,0.7525252525252526,False
GO:0030335,4,5,0.782608695652174,0.7565147033317794,False
GO:0006468,3,4,0.7340425531914894,0.7819842483434454,False
GO:0010629,3,4,0.7340425531914894,0.7819842483434454,False
GO:0042531,2,3,0.6527777777777778,0.818910757055087,False
GO:0070098,2,3,0.6527777777777778,0.818910757055087,False
GO:0006935,2,3,0.6527777777777778,0.818910757055087,False
GO:0003723,2,3,0.6527777777777778,0.818910757055087,False
GO:0042995,2,3,0.6527777777777778,0.818910757055087,False
GO:0016324,2,3,0.6527777777777778,0.818910757055087,False
GO:0043066,4,6,0.6376811594202898,0.8410799901444538,False
GO:0005794,4,6,0.6376811594202898,0.8410799901444538,False
GO:0016477,3,5,0.574468085106383,0.8656698962389194,False
GO:0045785,1,2,0.4897959183673469,0.8787878787878788,False
GO:0005789,1,2,0.4897959183673469,0.8787878787878788,False
GO:0030307,1,2,0.4897959183673469,0.8787878787878788,False
GO:0043524,1,2,0.4897959183673469,0.8787878787878788,False
GO:0002020,1,2,0.4897959183673469,0.8787878787878788,False
GO:0004713,1,2,0.4897959183673469,0.8787878787878788,False
GO:0060326,1,2,0.4897959183673469,0.8787878787878788,False
