gene,emb_idx,drift_l2,drift_pct_fullvocab
TXN,705,27.555395126342773,0.8192796169061004
NCOA3,514,27.55145263671875,0.8178221944617947
ZFP36,577,27.546709060668945,0.8151155527795128
KLRK1,1936,27.54450035095215,0.814699146366854
IL2RA,668,27.540802001953125,0.8132417239225485
PRF1,1359,27.535308837890625,0.8119925046845722
IL24,1005,27.53216552734375,0.8103268790339371
BNIP3,1293,27.528064727783203,0.8094940662086196
CAT,481,27.527681350708008,0.8090776597959609
ELF1,473,27.521589279174805,0.8065792213200084
IL2RB,212,27.519100189208984,0.8055382052883614
POU2F2,57,27.51641082763672,0.8051217988757027
CLU,476,27.510540008544922,0.8028315636060795
ATP1B1,791,27.489757537841797,0.7949198417655632
MGP,340,27.483015060424805,0.7928378097022695
NCL,386,27.48141098022461,0.7922132000832813
MGAT5,891,27.481239318847656,0.7920049968769519
SPIB,3964,27.452009201049805,0.7803456173225067
STIM1,1123,27.446121215820312,0.7788881948782012
MEF2C,155,27.43130874633789,0.7740995211326255
IL10,703,27.42926597595215,0.7734749115136373
CXCR4,486,27.417356491088867,0.7703518634186967
WFDC2,234,27.405637741088867,0.7666042057047678
ITGB2,978,27.395832061767578,0.7626483447845097
TBXAS1,93,27.385719299316406,0.7586924838642515
PRDM1,91,27.36956787109375,0.7518217780553821
HLA-DRB1,1537,27.342731475830078,0.7447428690401832
JARID2,22,27.339099884033203,0.743493649802207
OPRM1,356,27.31830596923828,0.7376639600249844
MSR1,67,27.287155151367188,0.7291276285654799
MMP7,721,27.28084373474121,0.7260045804705393
IFNG,343,27.277511596679688,0.7239225484072455
CD8B,1226,27.2742977142334,0.7232979387882573
JUN,1320,27.272384643554688,0.7228815323755986
PRKCQ,106,27.264080047607422,0.7193420778679992
TSC22D3,946,27.255081176757812,0.7164272329793879
GSTP1,168,27.248689651489258,0.7145534041224235
BIRC3,48,27.245838165283203,0.7130959816781178
PLAT,256,27.239526748657227,0.710389339995836
HLA-DRA,1677,27.235532760620117,0.7085155111388716
HLA-DMB,2996,27.224788665771484,0.7051842598376015
SPP1,450,27.22215461730957,0.7039350405996252
HLA-A,1714,27.219749450683594,0.7033104309806371
LRRFIP1,532,27.21491813659668,0.7022694149489902
HLA-B,2657,27.213884353637695,0.7020612117426608
BIRC5,182,27.2044620513916,0.6991463668540495
KDR,579,27.199382781982422,0.6976889444097439
RHOC,929,27.191730499267578,0.6943576931084738
PCBD1,1099,27.189882278442383,0.693316677076827
HPGD,1053,27.181032180786133,0.6901936289818863
AKR1B1,173,27.176204681396484,0.6883198001249219
CTSB,1073,27.160131454467773,0.6845721424109932
HLA-C,1689,27.15909767150879,0.683947532792005
RHOB,804,27.156675338745117,0.6829065167603581
PDHA1,634,27.156187057495117,0.6824901103476994
SDHB,430,27.151535034179688,0.6810326879033937
CXCR3,1484,27.125699996948242,0.6739537788881949
MAFA,1396,27.122880935668945,0.672912762856548
KLF6,111,27.118213653564453,0.6710389339995836
SLA2,226,27.089092254638672,0.6641682281907141
HIF1A,221,27.079204559326172,0.660212367270456
CCND1,326,27.064517974853516,0.6564647095565271
TNFSF10,484,27.06092643737793,0.6556318967312097
ALOX5AP,648,27.027278900146484,0.6475119716843639
FAM162A,379,27.006895065307617,0.6427232979387882
HDGF,798,27.003690719604492,0.6423068915261295
MKI67,854,26.96038246154785,0.6348115760982719
ASAH1,258,26.859180450439453,0.6179471163855923
EPCAM,463,26.787336349487305,0.6087861753070998
HIPK2,100,26.729238510131836,0.6027482823235478
HLA-DPB1,2078,26.718830108642578,0.6019154694982303
FOXP3,80,26.667442321777344,0.5981678117843015
COL1A1,309,0.0,0.0
MMP9,225,0.0,0.0
CXCL8,1167,0.0,0.0
IL6,697,0.0,0.0
SOX18,1674,0.0,0.0
IGFBP1,829,0.0,0.0
IGFBP3,828,0.0,0.0
NPPA,1280,0.0,0.0
KLK1,1132,0.0,0.0
MUC1,1452,0.0,0.0
GBX2,1148,0.0,0.0
IL12A,1154,0.0,0.0
DCN,34,0.0,0.0
IL12B,369,0.0,0.0
KLF14,3832,0.0,0.0
INS,3353,0.0,0.0
CCR6,360,0.0,0.0
POU1F1,101,0.0,0.0
TSHB,662,0.0,0.0
TNFRSF17,74,0.0,0.0
TLX1,300,0.0,0.0
SERPINB2,1573,0.0,0.0
