layer,family,mean_margin,std_margin,n_tfs,overall_auroc
4,RUNX,-0.6708529412402828,0.02192360733385612,2,0.5556430446194226
5,Other,-0.7040436273238474,0.2219103445505722,45,0.5809711286089239
5,bZIP,-0.8285456347659232,0.08812939594426349,4,0.5809711286089239
5,C2H2-ZF,-0.605039507525438,0.04127830806871918,2,0.5809711286089239
5,bHLH,-0.7256908454080273,0.0,1,0.5809711286089239
5,ETS,-0.6141934324398746,0.12697916512168317,2,0.5809711286089239
5,Unknown,-0.6424587792168379,0.001007386005415556,2,0.5809711286089239
5,GATA,-0.7081861664516597,0.0,1,0.5809711286089239
5,Rel,-0.6893309931553906,0.0,1,0.5809711286089239
5,RUNX,-0.66138948279412,0.04210787937934474,2,0.5809711286089239
6,Other,-0.57630811210798,0.4608311048658418,45,0.6401574803149607
6,bZIP,-0.9398034339076243,0.12238786509207088,4,0.6401574803149607
6,C2H2-ZF,-0.5098080843625211,0.1570105339415375,2,0.6401574803149607
6,bHLH,-0.0800215633206085,0.0,1,0.6401574803149607
6,ETS,-0.5229964671481795,0.2004759981804886,2,0.6401574803149607
6,Unknown,-0.6585411898649289,0.0031106560872339872,2,0.6401574803149607
6,GATA,-0.7960181963188642,0.0,1,0.6401574803149607
6,Rel,-0.6099042992621444,0.0,1,0.6401574803149607
6,RUNX,-0.632465270292889,0.10764177854746743,2,0.6401574803149607
7,Other,-0.54274522820709,0.5678930450028249,45,0.6772965879265093
7,bZIP,-0.9514770313233676,0.20030262412687277,4,0.6772965879265093
7,C2H2-ZF,-0.479188485019209,0.22568311944187264,2,0.6772965879265093
7,bHLH,-0.4573152359657186,0.0,1,0.6772965879265093
7,ETS,-0.450523424561595,0.18220623063031338,2,0.6772965879265093
7,Unknown,-0.6773299742092345,0.0030068066089842804,2,0.6772965879265093
7,GATA,-0.7643795609673871,0.0,1,0.6772965879265093
7,Rel,-0.5605477582418965,0.0,1,0.6772965879265093
7,RUNX,-0.5690903404104398,0.09783956060962495,2,0.6772965879265093
8,Other,-0.5095305030721159,0.624602463606337,45,0.6708661417322834
8,bZIP,-0.9772901819125264,0.08796390914919722,4,0.6708661417322834
8,C2H2-ZF,-0.5827220547290209,0.24866990120577084,2,0.6708661417322834
8,bHLH,1.679942444738376,0.0,1,0.6708661417322834
8,ETS,-0.5541077898884121,0.08499682069030809,2,0.6708661417322834
8,Unknown,-0.8100011770902192,0.0019741028237375557,2,0.6708661417322834
8,GATA,-0.8372802594113895,0.0,1,0.6708661417322834
8,Rel,-0.6527696733976264,0.0,1,0.6708661417322834
8,RUNX,-0.6898679170143216,0.09769270034409366,2,0.6708661417322834
9,Other,-0.3622366397418611,0.8194759024661311,45,0.7251968503937009
9,bZIP,-0.9737001257684128,0.23968012829894147,4,0.7251968503937009
9,C2H2-ZF,-0.6321703018557103,0.44352589343826465,2,0.7251968503937009
9,bHLH,2.5251842412950873,0.0,1,0.7251968503937009
9,ETS,0.18213511001147814,0.2141467071785535,2,0.7251968503937009
9,Unknown,-1.0799096798855992,0.006075882624241524,2,0.7251968503937009
9,GATA,-0.8624231559434539,0.0,1,0.7251968503937009
9,Rel,-0.20503644907962915,0.0,1,0.7251968503937009
9,RUNX,-0.32417692919014246,0.239244671837669,2,0.7251968503937009
10,Other,-0.43271215770657034,0.7332697030257852,45,0.7181102362204724
10,bZIP,-0.8122352355485712,0.30160286571126677,4,0.7181102362204724
10,C2H2-ZF,-0.6769020157474458,0.41696009602111694,2,0.7181102362204724
10,bHLH,2.7582443365520666,0.0,1,0.7181102362204724
10,ETS,0.06197998519137926,0.11847523753213596,2,0.7181102362204724
10,Unknown,-1.1410408839542008,0.0016434119958934623,2,0.7181102362204724
10,GATA,-0.902637670892571,0.0,1,0.7181102362204724
10,Rel,-0.22719307257623444,0.0,1,0.7181102362204724
10,RUNX,-0.29661563519440665,0.2188123245410744,2,0.7181102362204724
11,Other,-0.3706404752270479,0.8472652906244396,45,0.739238845144357
11,bZIP,-0.66276626426751,0.4544657868886979,4,0.739238845144357
11,C2H2-ZF,-0.6898343009199035,0.527240508831883,2,0.739238845144357
11,bHLH,2.5298732402151614,0.0,1,0.739238845144357
11,ETS,0.3629887716983454,0.12272891030808131,2,0.739238845144357
11,Unknown,-1.3166061919977818,0.0024593100048879712,2,0.739238845144357
11,GATA,-0.8483014146521703,0.0,1,0.739238845144357
11,Rel,0.07716008833529087,0.0,1,0.739238845144357
11,RUNX,-0.057125237043040955,0.29147507457223853,2,0.739238845144357
