layer,seed,gene,margin,t_dual,d_dual_to_tf,d_dual_to_tgt,d_tf_to_tgt
0,seed44,ETS1,-0.7065559427072934,-0.10906708,0.2704148,1.4974145,1.334427
0,seed44,ETS2,-2.187194896542834,-0.10906708,0.2704148,1.4974145,1.334427
0,seed44,FHL2,-1.264973042374314,-0.10906708,0.2704148,1.4974145,1.334427
0,seed44,RELA,-2.5468078343810547,-0.10906708,0.2704148,1.4974145,1.334427
0,seed44,SPI1,-2.778634726129667,-0.10906708,0.2704148,1.4974145,1.334427
0,seed44,FOXO3,-1.5931815032239822,-0.10906708,0.2704148,1.4974145,1.334427
0,seed44,GFI1B,-2.015683020238081,-0.10906708,0.2704148,1.4974145,1.334427
0,seed44,KLF1,-1.7038290425613163,-0.10906708,0.2704148,1.4974145,1.334427
0,seed44,HDAC9,-0.8207716476586366,-0.10906708,0.2704148,1.4974145,1.334427
0,seed44,MEF2C,-1.1782739631328742,-0.10906708,0.2704148,1.4974145,1.334427
0,seed44,HEY1,-1.2427206406777,-0.10906708,0.2704148,1.4974145,1.334427
0,seed44,LEF1,0.13117529238717474,-0.10906708,0.2704148,1.4974145,1.334427
0,seed44,LYL1,-2.5689310508877523,-0.10906708,0.2704148,1.4974145,1.334427
0,seed44,NFKBIA,-2.767705929503604,-0.10906708,0.2704148,1.4974145,1.334427
0,seed44,NFKBIZ,-2.0701096936470478,-0.10906708,0.2704148,1.4974145,1.334427
0,seed44,STAT4,0.3780046511902597,-0.10906708,0.2704148,1.4974145,1.334427
0,seed44,TNFAIP3,-1.8582063122066292,-0.10906708,0.2704148,1.4974145,1.334427
0,seed44,PBX1,-1.2952710515170218,-0.10906708,0.2704148,1.4974145,1.334427
0,seed44,SOX9,-1.0581056544423189,-0.10906708,0.2704148,1.4974145,1.334427
1,main,BCL11A,-0.9361979567722307,-0.19866444,0.22533482,1.0566727,0.8733428
1,main,GATA1,-1.8685959512159083,-0.19866444,0.22533482,1.0566727,0.8733428
