layer,tf_gene,margin,dist_to_tgt_centroid,dist_to_tf_centroid,family
3,RB1,1.4751093,5.2572775,3.7821681,Other
3,TOB1,0.7024934,3.1079757,2.4054823,Other
3,NFKBIZ,0.3725934,2.7270575,2.354464,Rel
3,CREB5,0.20416236,3.4018464,3.197684,bZIP
3,ZEB1,1.4350662,5.579617,4.144551,Other
3,TCF7L2,1.1530223,3.8607934,2.707771,Other
3,SETBP1,1.3510728,5.888968,4.537895,Other
3,NR4A2,0.6128659,3.5694947,2.9566288,Nuclear receptor
3,BATF,-0.8664832,4.7326484,5.5991316,Other
3,ERG,-0.013113022,4.7973113,4.8104243,ETS
3,ETS2,0.8438132,4.556514,3.7127006,ETS
3,TAL1,0.47408056,4.576143,4.102062,Other
3,HEY1,-0.8667855,3.5106187,4.377404,Other
3,GFI1B,-0.9304571,3.0337465,3.9642036,Other
3,CTNNB1,1.3991652,4.041588,2.6424227,Other
3,RBPJ,1.2385454,5.946746,4.7082005,Other
3,STAT3,1.2934725,3.726888,2.4334154,STAT
3,ONECUT1,-0.8541002,3.858139,4.7122393,Other
3,FOS,0.28632545,2.9813697,2.6950443,bZIP
3,HOPX,0.37388754,2.7254221,2.3515346,Other
3,MAL,-0.3060279,4.3209543,4.626982,Other
3,CEBPB,0.55774,4.3003435,3.7426035,Other
3,RELA,0.32493567,4.2831883,3.9582527,Rel
3,JUN,1.1202285,3.0107758,1.8905473,bZIP
3,MAF,0.75132656,2.4966462,1.7453196,Other
3,GATA2,0.35603,3.197888,2.841858,GATA
3,WT1,-0.4807005,5.2198296,5.70053,C2H2-ZF
3,PBX1,1.1350794,6.3221593,5.18708,Other
3,MYBL1,0.10601044,5.1845746,5.078564,Other
3,PAX5,-0.61431885,5.255229,5.869548,Other
3,CEBPD,0.4962654,3.8465135,3.350248,Other
3,NCOA4,0.71032786,4.258912,3.5485842,Other
3,DACH1,0.72962856,5.09596,4.3663316,Other
