gene,emb_idx,drift_l2,drift_rank
MKI67,854,26.96038246154785,181
ASAH1,258,26.859180450439453,182
EPCAM,463,26.787336349487305,183
HIPK2,100,26.729238510131836,184
HLA-DPB1,2078,26.718830108642578,185
FOXP3,80,26.667442321777344,186
TNFRSF17,74,0.0,187
TSHB,662,0.0,188
TLX1,300,0.0,189
IGFBP3,828,0.0,190
KLF14,3832,0.0,191
SOX18,1674,0.0,192
GBX2,1148,0.0,193
KLK1,1132,0.0,194
DCN,34,0.0,195
INS,3353,0.0,196
IL6,697,0.0,197
CXCL8,1167,0.0,198
IGFBP1,829,0.0,199
COL1A1,309,0.0,200
SERPINB2,1573,0.0,201
MMP9,225,0.0,202
IL12B,369,0.0,203
MUC1,1452,0.0,204
NPPA,1280,0.0,205
IL12A,1154,0.0,206
CCR6,360,0.0,207
POU1F1,101,0.0,208
