go_term,n_term_genes,n_in_top,n_in_bot,odds_ratio,p_fisher
GO:0035556,8,3,1,3.127659574468085,0.3086535457669478
GO:0021987,5,3,1,3.127659574468085,0.3086535457669478
GO:0048661,5,3,1,3.127659574468085,0.3086535457669478
GO:0032757,6,3,1,3.127659574468085,0.3086535457669478
GO:0048731,7,3,1,3.127659574468085,0.3086535457669478
GO:0001701,6,3,1,3.127659574468085,0.3086535457669478
GO:0001837,5,3,1,3.127659574468085,0.3086535457669478
GO:0045471,12,4,2,2.0869565217391304,0.33886614380374547
GO:0045087,20,4,2,2.0869565217391304,0.33886614380374547
GO:0042110,13,5,3,1.7407407407407407,0.35749183148234487
GO:0042102,14,6,4,1.5681818181818181,0.37033322688723236
GO:0050796,7,2,1,2.0416666666666665,0.49999999999999994
GO:0070374,11,2,1,2.0416666666666665,0.49999999999999994
GO:0032729,11,4,3,1.3623188405797102,0.49999999999999994
GO:0032755,9,2,1,2.0416666666666665,0.49999999999999994
GO:1901224,7,2,1,2.0416666666666665,0.49999999999999994
GO:0071356,11,4,3,1.3623188405797102,0.49999999999999994
GO:0001503,7,2,1,2.0416666666666665,0.49999999999999994
GO:0009887,6,2,1,2.0416666666666665,0.49999999999999994
GO:0042542,6,2,1,2.0416666666666665,0.49999999999999994
GO:0007166,24,4,3,1.3623188405797102,0.49999999999999994
GO:0007169,7,2,1,2.0416666666666665,0.49999999999999994
GO:0030593,6,2,1,2.0416666666666665,0.49999999999999994
GO:0032735,8,2,1,2.0416666666666665,0.49999999999999994
GO:0050870,8,2,1,2.0416666666666665,0.49999999999999994
GO:0032703,7,2,1,2.0416666666666665,0.49999999999999994
GO:0046718,5,2,1,2.0416666666666665,0.49999999999999994
GO:0042130,7,2,1,2.0416666666666665,0.49999999999999994
GO:0002639,5,2,1,2.0416666666666665,0.49999999999999994
GO:0009612,5,2,1,2.0416666666666665,0.49999999999999994
GO:0060395,5,2,1,2.0416666666666665,0.49999999999999994
GO:0007417,6,1,0,50000000000.0,0.5
GO:0051044,5,1,0,50000000000.0,0.5
GO:0048143,5,1,0,50000000000.0,0.5
GO:0006974,10,3,2,1.5319148936170213,0.5
GO:0006338,9,3,2,1.5319148936170213,0.5
GO:0006874,5,1,0,50000000000.0,0.5
GO:0042100,8,1,0,50000000000.0,0.5
GO:0009617,5,1,0,50000000000.0,0.5
GO:0044344,6,3,2,1.5319148936170213,0.5
GO:0050852,11,3,2,1.5319148936170213,0.5
GO:0051092,5,1,0,50000000000.0,0.5
GO:0007229,5,1,0,50000000000.0,0.5
GO:0006952,9,3,2,1.5319148936170213,0.5
GO:0043066,31,7,7,1.0,0.6128941352224406
GO:0045766,18,6,6,1.0,0.6201967278854306
GO:0032496,11,3,3,1.0,0.6611338561962545
GO:0043123,15,3,3,1.0,0.6611338561962545
GO:0006935,11,3,3,1.0,0.6611338561962545
GO:0007267,12,3,3,1.0,0.6611338561962545
GO:0006959,13,2,2,1.0,0.6913464542330522
GO:0050830,9,2,2,1.0,0.6913464542330522
GO:0032760,11,2,2,1.0,0.6913464542330522
GO:0032722,8,2,2,1.0,0.6913464542330522
GO:0001666,11,2,2,1.0,0.6913464542330522
GO:0007565,5,2,2,1.0,0.6913464542330522
GO:0051607,9,2,2,1.0,0.6913464542330522
GO:0071347,6,2,2,1.0,0.6913464542330522
GO:0070098,6,2,2,1.0,0.6913464542330522
GO:0009615,10,2,2,1.0,0.6913464542330522
GO:0032733,6,2,2,1.0,0.6913464542330522
GO:0010718,5,2,2,1.0,0.6913464542330522
GO:1902895,9,2,2,1.0,0.6913464542330522
GO:0045786,5,2,2,1.0,0.6913464542330522
GO:0007179,6,2,2,1.0,0.6913464542330522
GO:0048469,6,2,2,1.0,0.6913464542330522
GO:0010575,5,2,2,1.0,0.6913464542330522
GO:0007259,10,2,2,1.0,0.6913464542330522
GO:0008284,24,7,8,0.8546511627906976,0.7116765035420761
GO:0050727,5,1,1,1.0,0.7525252525252526
GO:0046330,6,1,1,1.0,0.7525252525252526
GO:0061844,5,1,1,1.0,0.7525252525252526
GO:0001822,6,1,1,1.0,0.7525252525252526
GO:0042981,11,1,1,1.0,0.7525252525252526
GO:0030183,8,1,1,1.0,0.7525252525252526
GO:0014823,5,1,1,1.0,0.7525252525252526
GO:0071364,5,1,1,1.0,0.7525252525252526
GO:0032689,5,1,1,1.0,0.7525252525252526
GO:0032715,5,1,1,1.0,0.7525252525252526
GO:2000352,5,1,1,1.0,0.7525252525252526
GO:0030225,5,1,1,1.0,0.7525252525252526
GO:0002503,5,1,1,1.0,0.7525252525252526
GO:0002504,5,1,1,1.0,0.7525252525252526
GO:0019886,5,1,1,1.0,0.7525252525252526
GO:0050778,5,1,1,1.0,0.7525252525252526
GO:0008285,20,4,5,0.782608695652174,0.7565147033317794
GO:0010629,19,4,5,0.782608695652174,0.7565147033317794
GO:0030335,15,4,5,0.782608695652174,0.7565147033317794
GO:0007165,40,10,12,0.7916666666666666,0.7652324259262864
GO:0045892,21,3,4,0.7340425531914894,0.7819842483434454
GO:0071222,18,3,4,0.7340425531914894,0.7819842483434454
GO:0071456,12,3,4,0.7340425531914894,0.7819842483434454
GO:0007204,7,2,3,0.6527777777777778,0.818910757055087
GO:0006915,34,5,7,0.6825396825396826,0.8216693384362476
GO:0007186,12,3,5,0.574468085106383,0.8656698962389194
GO:0016477,10,3,5,0.574468085106383,0.8656698962389194
GO:0006693,5,1,2,0.4897959183673469,0.8787878787878788
GO:0051384,7,1,2,0.4897959183673469,0.8787878787878788
