tf,n_targets,layer,obs_dist,null_dist_mean,null_dist_std,z_dist
HDAC9,20,4,14.068924611272713,14.440847694707537,0.7573659241067269,-0.49107448803362497
HDAC9,20,5,13.65194155156523,13.762736858099885,0.7545526988159915,-0.1468357434921507
HDAC9,20,6,13.570585600491643,13.575327616986147,0.8553591211095438,-0.005543889551738922
HDAC9,20,7,13.428887159987255,13.093454762795892,1.0729562178229848,0.3126244963396098
HDAC9,20,8,13.388160970400053,12.743199750402988,1.1155895557961093,0.5781348674753466
HDAC9,20,9,12.328551574543464,12.039581053508943,0.9422887278396055,0.3066687656309407
HDAC9,20,10,10.827653851878207,10.866896568152168,1.5502187907682672,-0.025314308217430817
HDAC9,20,11,8.824610112685644,8.533021557546203,1.7029838534667834,0.1712221490214666
HDGF,16,0,17.84703106468921,17.57715488108532,0.5632092016798402,0.4791757357638201
HDGF,16,1,16.24239372402063,15.710173893149664,0.7222611266861741,0.7368800717724606
HDGF,16,2,15.65235150231369,14.918316674007482,0.7821556135467121,0.9384767117859093
HDGF,16,3,15.619495155298697,14.55939687313248,0.7601864526497476,1.39452403876849
HDGF,16,4,14.969612939188785,14.095299308335168,0.9964149876325806,0.8774593334158205
HDGF,16,5,14.634569401254275,13.2705874224151,0.782098936290901,1.7440018334609317
HDGF,16,6,14.594081493481575,13.064380934633892,1.0601978261543727,1.442844458940578
HDGF,16,7,14.50362496078028,12.707075053878544,1.2494391749467888,1.4378850470878248
HDGF,16,8,14.577279133156654,12.700646926538587,1.2588068133820722,1.4908023905400274
HDGF,16,9,13.878610213177085,11.925952731151934,1.740089652324422,1.122159125201842
HDGF,16,10,12.86398654188963,11.290033849201162,1.8873026367707093,0.8339694238872035
HDGF,16,11,10.785226307705042,8.741166274235182,1.75045203350944,1.1677326738121308
HIF1A,29,0,16.45953440788579,16.40640276590991,0.44059958932230925,0.1205894042198343
HIF1A,29,1,14.707196826254203,14.748904976341516,0.6954578051566649,-0.05997222229451801
HIF1A,29,2,14.014384486961818,14.005440454930735,0.5101641943362867,0.017531673391385665
HIF1A,29,3,13.96577299324118,14.254833103782858,0.7756426466750383,-0.3726717603535564
HIF1A,29,4,13.220225495511823,13.23547923195105,0.9685470311620303,-0.015749092143647805
HIF1A,29,5,12.85820833366644,13.025747891580655,0.7464669257804653,-0.22444337736604414
HIF1A,29,6,12.739044923888189,13.378369759918112,0.7611102155437748,-0.839989824040343
HIF1A,29,7,12.56909962189836,13.135209925542833,1.0349684491009312,-0.5469831511639304
HIF1A,29,8,12.478135794703995,12.52083171520346,1.119875771212679,-0.03812558642395768
HIF1A,29,9,11.575559883769,11.29510462852825,1.034401584589332,0.2711280216687728
HIF1A,29,10,10.27432848806267,10.316491544473815,1.2259040121009748,-0.03439344026526583
HIF1A,29,11,8.405653953853786,8.535726211984574,1.0953803583983082,-0.1187462027537018
HIF3A,11,0,17.58401440554231,17.27539356440986,0.7427933445395399,0.41548681527802805
HIF3A,11,1,16.01897515502972,15.642006076577422,0.9515727346219469,0.3961537197701096
